full_name,age,season,position,Current_Club,minutes_played_overall,minutes_played_home,minutes_played_away,goals_overall,goals_home,goals_away,goals_per_90_overall,goals_per_90_home,goals_per_90_away
Bernardo,27,2018/2019,Defender,Brighton & Hove Albion,1750,990,760,0,0,0,0,0,0
Bernardo Silva,28,2018/2019,Midfielder,Manchester City,2853,1470,1383,7,2,5,0.22,0.12,0.33
Bernd Leno,30,2018/2019,Goalkeeper,Arsenal,2835,1395,1440,0,0,0,0,0,0
Bobby Reid,29,2018/2019,Midfielder,Cardiff City,1422,725,697,5,4,1,0.32,0.5,0.13
Brian Murphy,39,2018/2019,Goalkeeper,Cardiff City,0,0,0,0,0,0,0,0,0
Bright Enobakhare,24,2018/2019,Forward,Wolverhampton Wanderers,0,0,0,0,0,0,0,0,0
Bruno Écuélé Manga,34,2018/2019,Defender,Cardiff City,3375,1710,1665,0,0,0,0,0,0
Bruno Saltor Grau,42,2018/2019,Defender,Brighton & Hove Albion,1136,534,602,0,0,0,0,0,0
Caglar Söyüncü,26,2018/2019,Defender,Leicester City,371,191,180,0,0,0,0,0,0
Callum Hudson-Odoi,21,2018/2019,Midfielder,Chelsea,391,267,124,0,0,0,0,0,0
Callum Paterson,28,2018/2019,Defender,Cardiff City,1996,1024,972,4,3,1,0.18,0.26,0.09
Callum Roberts,25,2018/2019,Forward,Newcastle United,0,0,0,0,0,0,0,0,0
Callum Slattery,23,2018/2019,Midfielder,Southampton,110,6,104,0,0,0,0,0,0
Callum Wilson,30,2018/2019,Forward,AFC Bournemouth,2535,1324,1211,14,5,9,0.5,0.34,0.67
Calum Chambers,27,2018/2019,Defender,Fulham,2587,1458,1129,2,2,0,0.07,0.12,0
Cameron John,23,2018/2019,Defender,Wolverhampton Wanderers,0,0,0,0,0,0,0,0,0
Carl Jenkinson,30,2018/2019,Defender,Arsenal,166,166,0,0,0,0,0,0,0
Carlos Sánchez,36,2018/2019,Midfielder,West Ham United,240,120,120,0,0,0,0,0,0
Cedric Soares,31,2018/2019,Defender,Southampton,1494,651,843,1,1,0,0.06,0.14,0
Cenk Tosun,31,2018/2019,Forward,Everton,1050,536,514,3,2,1,0.26,0.34,0.18
Cesar Azpilicueta,33,2018/2019,Defender,Chelsea,3403,1693,1710,1,0,1,0.03,0,0.05
Cesc Fabregas,35,2018/2019,Midfielder,Chelsea,175,73,102,0,0,0,0,0,0
Charlie Austin,33,2018/2019,Forward,Southampton,980,454,526,2,1,1,0.18,0.2,0.17
Charlie Daniels,36,2018/2019,Defender,AFC Bournemouth,1583,803,780,1,1,0,0.06,0.11,0
Charlie Taylor,29,2018/2019,Defender,Burnley,3240,1636,1604,0,0,0,0,0,0
Cheikhou Kouyaté,32,2018/2019,Midfielder,Crystal Palace,1897,865,1032,0,0,0,0,0,0
