full_name,age,season,position,Current_Club,minutes_played_overall,minutes_played_home,minutes_played_away,goals_overall,goals_home,goals_away,goals_per_90_overall,goals_per_90_home,goals_per_90_away
Tom Heaton,36,2018/2019,Goalkeeper,Burnley,1710,900,810,0,0,0,0,0,0
Tom Smith,30,2018/2019,Defender,Huddersfield Town,1141,431,710,0,0,0,0,0,0
Trent Alexander-Arnold,24,2018/2019,Defender,Liverpool,2467,1266,1201,1,0,1,0.04,0,0.07
Troy Deeney,34,2018/2019,Forward,Watford,2548,1298,1250,9,3,6,0.32,0.21,0.43
Tyias Browning,28,2018/2019,Defender,Everton,0,0,0,0,0,0,0,0,0
Tyreke Johnson,24,2018/2019,Defender,Southampton,0,0,0,0,0,0,0,0,0
Tyrone Mings,29,2018/2019,Defender,AFC Bournemouth,141,7,134,0,0,0,0,0,0
Vicente Guaita,35,2018/2019,Goalkeeper,Crystal Palace,1755,1035,720,0,0,0,0,0,0
Vicente Iborra De La Fuente,34,2018/2019,Midfielder,Leicester City,226,152,74,0,0,0,0,0,0
Víctor Camarasa,28,2018/2019,Midfielder,Cardiff City,2579,1267,1312,5,4,1,0.17,0.28,0.07
Victor Lindelöf,28,2018/2019,Defender,Manchester United,2602,1112,1490,1,1,0,0.03,0.08,0
Victor Moses,31,2018/2019,Midfielder,Chelsea,26,17,9,0,0,0,0,0,0
Victor Wanyama,31,2018/2019,Midfielder,Tottenham Hotspur,509,302,207,1,1,0,0.18,0.3,0
Viktor Gyökeres,24,2018/2019,Forward,Brighton & Hove Albion,0,0,0,0,0,0,0,0,0
Vincent Janssen,28,2018/2019,Forward,Tottenham Hotspur,36,36,0,0,0,0,0,0,0
Vincent Kompany,36,2018/2019,Defender,Manchester City,1223,561,662,1,1,0,0.07,0.16,0
Virgil van Dijk,31,2018/2019,Defender,Liverpool,3385,1675,1710,4,2,2,0.11,0.11,0.11
Wayne Hennessey,35,2018/2019,Goalkeeper,Crystal Palace,1575,675,900,0,0,0,0,0,0
Wes Morgan,38,2018/2019,Defender,Leicester City,1926,783,1143,3,1,2,0.14,0.11,0.16
Wesley Hoedt,28,2018/2019,Defender,Southampton,1170,540,630,0,0,0,0,0,0
Wilfred Ndidi,25,2018/2019,Midfielder,Leicester City,3299,1624,1675,2,2,0,0.05,0.11,0
Wilfried Zaha,29,2018/2019,Midfielder,Crystal Palace,3041,1347,1694,10,1,9,0.3,0.07,0.48
Will Hughes,27,2018/2019,Midfielder,Watford,2436,1251,1185,2,1,1,0.07,0.07,0.08
Will Norris,29,2018/2019,Goalkeeper,Wolverhampton Wanderers,0,0,0,0,0,0,0,0,0
Willian,34,2018/2019,Forward,Chelsea,2108,833,1275,3,2,1,0.13,0.22,0.07
Willy Boly,31,2018/2019,Defender,Wolverhampton Wanderers,3169,1530,1639,4,2,2,0.11,0.12,0.11
Willy Caballero,41,2018/2019,Goalkeeper,Chelsea,180,90,90,0,0,0,0,0,0
Xherdan Shaqiri,31,2018/2019,Midfielder,Liverpool,1058,538,520,6,5,1,0.51,0.84,0.17
Yan Valery,23,2018/2019,Defender,Southampton,1715,1070,645,2,1,1,0.1,0.08,0.14
Yerry Mina,28,2018/2019,Defender,Everton,890,360,530,1,0,1,0.1,0,0.17
Yoshinori Muto,30,2018/2019,Forward,Newcastle United,516,180,336,1,0,1,0.17,0,0.27
Youri Tielemans,25,2018/2019,Midfielder,Leicester City,1092,575,517,3,2,1,0.25,0.31,0.17
Yves Bissouma,26,2018/2019,Midfielder,Brighton & Hove Albion,1769,747,1022,0,0,0,0,0,0
Zechariah Medley,22,2018/2019,Defender,Arsenal,0,0,0,0,0,0,0,0,0
Zeze  Steven Sessegnon,22,2018/2019,Defender,Fulham,0,0,0,0,0,0,0,0,0
Łukasz Fabiański,37,2018/2019,Goalkeeper,West Ham United,3420,1710,1710,0,0,0,0,0,0
